eng_id,eng_sen,spa_id,spa_sen,audio_id
8736649,Marriage should be abolished.,9764517,El matrimonio debería ser abolido.,1249230
8736660,Michelangelo was gay.,12122495,Miguel Ángel fue gay.,1099802
8742958,I don't take any responsibility at all.,8955321,No asumo ninguna responsabilidad.,784966
8771649,I'm a very stable genius.,8771783,Soy un genio muy estable.,1140624
8787802,Cats sleep a lot.,8787930,Los gatos duermen mucho.,783989
8805537,I totally get it.,1476279,Comprendo totalmente.,784015
8808620,Black lives matter.,8808631,Las vidas negras importan.,1099927
8809687,All good?,608635,¿Todo está bien?,1249238
8813265,Punctuation is important.,8813970,La puntuación es importante.,784035
8813339,The living are more valuable than the dead.,10336300,Los vivos valen más que los muertos.,784982
8849698,Are they all gay?,10685655,¿Son todos gays?,1113428
8880304,It's a good and natural sentence.,8880937,Es una oración buena y natural.,1247217
8892058,Pigs are very intelligent.,11765675,Los cerdos son muy inteligentes.,784788
8892061,Pigs are smarter than dogs and cats.,8948728,Los cerdos son más inteligentes que los perros y los gatos.,748179
8895403,"A lot of people only care about ""defending language"" when it involves queer people defining themselves.",12413966,"A mucha gente solo le importa ""defender el idioma"" cuando se trata de cómo las personas LGBT se definen.",1099744
8904252,Hate has its place.,9977272,El odio tiene su lugar.,784805
8906192,Tom was the only one willing to address the elephant in the room.,9125956,Tom fue el único dispuesto a abordar el delicado problema.,788251
8923633,The Strait of Gibraltar divides Spain from Morocco.,10012243,El estrecho de Gibraltar separa España de Marruecos.,865981
8925085,The apple isn't red.,11068670,La manzana no es roja.,784714
8932866,Many people don't understand cats.,10832942,Mucha gente no entienden a los gatos.,784716
8986418,I've heard you talk about this before.,11364851,Escuché que hablaste de esto antes.,785001
8987149,Tom isn't an anarchist.,9004892,Tom no es anarquista.,792709
8997496,Tom always forgets punctuation and capital letters.,8997587,Tom siempre olvida la puntuación y las mayúsculas.,772783
9013584,Tom isn't a furry.,9344857,Tom no es un furro.,1247219
9019839,Read another book.,9757375,Lee otro libro.,784766
9023305,Thanks for putting up with me.,10181527,Gracias por tolerarme.,784768
9027419,I wish it wasn't true.,7968540,Desearía que no fuese verdad.,784769
9054429,It's better this way.,1240423,Es mejor así.,784692
9090556,"Will you shut up, man?",9098384,"¿Te vas a callar, hombre?",971277
9141049,A drunk man's words are a sober man's thoughts.,577102,En el vino está la verdad.,785008
9147454,Not all roses are red.,9148584,No todas las rosas son rojas.,784447
9147963,Dogs are noble creatures.,9149254,Los perros son criaturas nobles.,784448
9158362,Can I take your order?,850558,¿Puedo tomar su orden?,811810
9158418,"Go home, Tom. You're drunk.",10124080,"Vete a casa, Tom, que estás tomado.",815938
9158891,I burnt the bread.,9162431,Se me quemó el pan.,1152961
9192200,That was an accident.,11915531,Eso fue un accidente.,809769
9233436,What's Beethoven's favorite fruit? A ba-na-na-na!,10083259,¿Cuál es la fruta favorita de Beethoven? ¡Una ba-na-na-ná!,1123652
9233536,I love kittens.,9365729,Amo los gatitos.,810318
9289003,Too little salt is better than too much.,6731402,Es mejor quedarse corto de sal que pasarse.,805781
9333759,Cats are weird.,10046693,Los gatos son extraños.,803399
9369169,"If something could change, what would you want it to be?",9483234,"Si algo pudiera cambiar, ¿qué querrías que fuera?",1106242
9373310,"I'm not sure if you're interested, but I translated your article into French.",9709464,"No sé si le interesa, pero traduje su artículo al francés.",861932
9384983,I don't even know where Boston is.,10019197,Ni sé dónde queda Boston.,861951
9401001,"In the beginning, Tom created Boston and Australia.",9420069,"En el principio, Tom creó Boston y Australia.",1123735
9439921,Tom is a wolf.,9736626,Tom es un lobo.,822830
9445673,I don't believe in hypnosis.,9446767,No creo en la hipnosis.,819035
9453030,"It may be uncouth, but I love to eat peanut butter out of a jar with a spoon.",9453035,"A lo mejor sea burdo, pero me encanta comer la crema de cacahuate del frasco con una cuchara.",862469
9477501,What's a pandemic?,9477535,¿Qué es una pandemia?,811166
9510621,I don't want to become a lawyer.,9632982,No quiero ser abogado.,818989
9510623,"You don't have a key to this door, do you?",9640690,"No tienes llave para esta puerta, ¿verdad?",861186
9510625,"Tom can speak a little French, but he's not fluent.",9594106,"Tom puede hablar un poco de francés, pero no de manera fluida.",818990
9511440,I don't like Tom's new hat.,11699403,No me gusta el nuevo sombrero de Tom.,818994
9524679,Tom doesn't have a TV.,9524682,Tom no tiene televisión.,822066
9536163,Do you believe in vampires?,9553889,¿Crees en los vampiros?,818953
9546789,I hate nightmares.,12041604,Odio las pesadillas.,823227
9548354,Everything is political.,9628419,Todo es político.,1249275
9573184,I don't believe in copyright.,12400234,No creo en los derechos de autor.,1247233
9627929,Why do dogs eat grass?,11318370,¿Por qué los perros comen hierba?,823104
9649885,All dogs are good dogs.,9681675,Todos los perros son buenos perros.,1140635
9671942,You're worth it.,9671977,Tú lo vales.,822733
9672348,"I'm Tom, the gardener.",9741594,"Soy Tom, el jardinero.",821845
9672980,We live in different universes.,9674411,Vivimos en universos diferentes.,835048
9683390,Are there earthquakes on Mars?,9683391,¿Hay terremotos en Marte?,915637
9701817,The dog is playing with the cat.,9701823,El perro está jugando con el gato.,829396
9709320,That's got nothing to do with me.,345538,Eso no tiene nada que ver conmigo.,829404
9711302,I don't want to think about this.,9711337,No quiero pensar en esto.,829405
9713069,Consider the source.,9713674,Considera la fuente.,822985
9713580,"Open borders are good, actually.",11784473,"Las fronteras abiertas son buenas, en realidad.",852419
9732703,Who has time for that?,9757349,¿Quién tiene tiempo para eso?,828862
9734595,I like talking to my cat in French.,9734957,Me gusta hablarle a mi gato en francés.,829241
9735379,I like speaking French to my dog.,11927031,Me gusta hablar francés con mi perro.,829139
9735390,Tom's parrot swears in French.,9736664,El loro de Tom dice groserías en francés.,826376
9747095,I've grown as a person since then.,9757360,He crecido como persona desde entonces.,829251
9756542,It's full.,9795639,Está lleno.,828030
9764384,One of the kittens caught a moth.,10570775,Uno de los gatitos atrapó una polilla.,852902
9769310,Spiders are cute.,11070123,Las arañas son lindas.,849475
9769778,I'm not a unicorn.,9769782,No soy un unicornio.,1114130
9781333,PTSD is a thief.,11915036,El TEPT es un ladrón.,1134385
9796267,There wasn't a single abstention.,10921759,No hubo ni una sola abstención.,859947
9798436,How's the soup?,10201090,¿Cómo está la sopa?,833824
9805614,What are your weaknesses?,11003523,¿Cuáles son tus debilidades?,828621
9805638,Describe yourself.,1247036,Descríbase a sí mismo.,828622
9805817,"Aside from necessities, what one thing could you not go a day without?",10304663,"Aparte de artículos de primera necesidad, ¿Cuál es la única cosa con la cual no podrías estar en un día?.",1105924
9823061,Feelings aren't facts.,10242784,Los sentimientos no son hechos.,830833
9838795,I was an idealist.,11047142,Era un idealista.,834066
9842521,Some traditions are dumb.,9870643,Algunas tradiciones son tontas.,850681
9851440,I sleep in my car.,7790393,Duermo en el coche.,849290
9858834,That's a fairy tale.,1139929,Eso es un cuento de hadas.,849656
9869572,Tom is a good person with a lot of flaws.,9869821,Tom es una buena persona con muchos defectos.,849002
9928418,Do I smell funny?,9928473,¿Huelo raro?,849321
9929611,And?,456973,¿Y qué?,1140637
9937699,"We should build bridges, not walls.",9937934,"Debemos construir puentes, no muros.",852551
9941496,How do we know we can trust you?,9941498,¿Cómo sabemos que podemos confiar en ti?,852577
9962855,Captain Jackson is in charge of the flagship.,9962914,El Capitán Jackson está al mando del buque insignia.,852995
9962922,Tom's face was pallid.,9962956,La cara de Tom estaba pálida.,844755
9963626,"Capitalist, eh? Name every capital.",11900982,"¿Capitalista, eh? Nombra todos los capitales.",1123745
9970929,Love changes everything.,11688750,El amor lo cambia todo.,850579
9971378,"That's the Indonesian flag, not the Polish flag.",10046504,"Esa es la bandera indonesia, no la bandera polaca.",853613
9971841,Tom is going through withdrawal.,10010068,Tom tiene síndrome de abstinencia.,842875
9976997,Why are ducklings yellow?,10046651,¿Por qué son amarillos los patitos?,849967
9976998,I'm Jewish.,10024984,Soy judía.,1112888
9977132,I don't live there.,10243713,No vivo allí.,855381
9978032,I've got everything.,2754410,Tengo todo.,849561
9981433,Tom is an old fart.,10483444,Tom es un vejestorio.,915641
9985255,Was Karl Marx a communist?,10024980,¿Karl Mark era un comunista?,1123705
9987574,People have to do things to survive.,9988006,La gente tiene que hacer cosas para sobrevivir.,855096
9990915,Those are bears.,9991145,Esos son osos.,854948
9992936,Change is necessary and possible.,12400140,El cambio es necesario y posible.,855031
9992937,Why is Neptune blue?,9993410,¿Por qué Neptuno es azul?,855032
9996253,All mammals are cynodonts.,9996349,Todos los mamíferos son cinodontes.,1249315
10009492,I'll explain by way of a parable.,10010084,Lo explicaré por medio de una parábola.,854273
10009493,Let me explain by way of a parable.,10010010,Permitidme explicarlo mediante una parábola.,854274
10010937,It's all in the past.,10010942,Todo está en el pasado.,854296
10010945,She can't hurt you anymore.,10010947,Ya no te puede lastimar.,1123736
10011756,I can't pay attention to all those things at once.,10012095,No puedo prestar atención a todas esas cosas a la vez.,854204
10011945,Are you a native French speaker?,10012062,¿Eres un hablante nativo de francés?,854206
10013230,Tom has mellowed out.,10031669,Tom ha madurado.,846707
10017759,The meat can be thawed by leaving it in the fridge overnight.,10471844,La carne se puede descongelar dejándola en el frigo durante la noche.,853872
10017962,The package is here.,12903470,El paquete está aquí.,854176
10017987,It’s been like this since the dawn of time.,10101763,Ha sido así desde los albores de los tiempos.,853880
10018452,Are you sure you're a native French speaker?,10031619,¿Estás seguro de que eres un hablante nativo de francés?,859662
10018648,Tom has more heart than brains.,10031614,Tom tiene más corazón que cabeza.,848499
10019021,PTSD can steal your life.,10031612,El trastorno por estrés postraumático puede robarte la vida.,1134365
10019391,I love cockatiels.,10031605,Me gustan las cacatúas.,1249325
10019399,"No, you can't drink a cockatiel.",10031603,"No, no puedes beber una cacatúa.",1123712
10020646,Contradictions are part of reality.,10031589,Las contradicciones son parte de la realidad.,854063
10020808,Dogs will eat just about anything.,10031584,Los perros comerán casi cualquier cosa.,854065
10021613,Horse racing is cruel and inhumane.,10024973,Las carreras hípicas son crueles e inhumanas.,859666
10024360,Is this really a quote by Tom Jackson?,10025290,¿Es esta realmente una cita de Tom Jackson?,848423
10025692,Disinformation is everywhere.,10031562,La desinformación está en todas partes.,853942
10027300,You get the friends you deserve.,10031536,Obtienes los amigos que mereces.,851708
10028695,Play with the cats.,10028756,Juega con los gatos.,851720
10031067,That isn't helpful.,2857719,Eso no ayuda.,851186
10031068,I'm not gay; I'm bi.,10031485,No soy gay; soy bisexual.,1099801
10031069,"I'm bi, not gay.",10031484,"Soy bisexual, no gay.",1099795
10031070,I'm queer.,10031480,Soy queer.,1099755
10031092,Tom is a known narcotics agent.,10031474,Tom es un conocido agente de narcóticos.,848388
10031105,Don't trust Tom. He's a cop.,10031472,No confíes en Tom. Es policía.,848389
10031114,Tom is a fact checker.,10031471,Tom es verificador de hechos.,848390
10031116,Tom got fired from his job as a fact checker.,10031470,Tom fue despedido de su trabajo de verificador de hechos.,848391
10031132,That's not Tom. It's a ghost.,10031465,Eso no es Tom. Es un fantasma.,848392
10031133,That's not how that works.,10031327,Así no es como funciona.,851188
10031137,Why not just admit you don't know what you're talking about?,10031322,¿Por qué no admites simplemente que no sabes de qué estás hablando?,851189
10031139,At times it can get extremely painful.,10031315,A veces puede resultar extremadamente doloroso.,851190
10031142,I wonder if it might be trauma-related.,10031310,Me pregunto si podría estar relacionado con un trauma.,851191
10031143,I live on the moon.,10031302,Vivo en la luna.,868614
10031148,You'll need 1/3 cup of peanut oil.,10031278,Necesitarás un tercio de taza de aceite de cacahuete.,856339
10031149,Everything about this story is true.,10031274,Todo en esta historia es cierto.,851192
10031180,Would you like to make a statement?,10031453,¿Te gustaría hacer una declaración?,851193
10054437,Someone hacked my account.,11967722,Alguien hackeó mi cuenta.,853400
10057424,I know lots of people who talk like that.,11144890,Conozco mucha gente que habla así.,856323
10059671,Life has a 100 percent mortality rate.,10067478,La vida tiene un cien por cien de tasa de mortalidad.,1158707
10059957,That does certainly seem to be the case.,10060841,"Ciertamente, parece que ese es el caso.",856290
10059989,"Tom and I used to talk about everything, but now he only wants to talk about Linux and free and open-source software.",10060827,"Tom y yo hablábamos de todo, pero ahora solo quiere hablar de Linux y del software libre y de código abierto.",856291
10061917,Information comes faster than people can process it.,10067465,La información viene más rápido de lo que la gente puede procesar.,852734
10062479,Is this really French?,10063057,¿Es esto realmente francés?,856198
10063731,You forgot Poland.,10067459,Te olvidaste de Polonia.,1249328
10064243,I'm bi.,10067452,Soy bisexual.,1099833
10064262,Take your shoes off before entering a temple.,10067449,Quítate los zapatos antes de entrar a un templo.,856228
10066305,"Everyone deserves good things, including you.",10067432,"Todo el mundo merece cosas buenas, incluido tú.",856238
10066306,"Everyone deserves good things, including me.",10067431,"Todo el mundo merece cosas buenas, incluido yo.",856239
10074173,Tom looked emaciated.,10091091,Tom parecía demacrado.,858368
10074174,Let's do a quick recap.,10091088,Hagamos una rápida recapitulación.,859456
10076567,Migration is a basic human right.,10076935,La migración es un derecho humano básico.,858912
10077155,When was the last time you drank a glass of water?,10091075,¿Cuándo fue la última vez que bebiste un vaso de agua?,858914
10077560,My psychiatrist is Dr. Jackson.,10091065,Mi psiquiatra es el doctor Jackson.,858918
10077684,That was a really long time ago.,10091064,Eso pasó hace realmente mucho tiempo.,858919
10077685,That was a very long time ago.,1634576,Eso pasó hace mucho tiempo.,858920
10077686,That was such a long time ago.,1634576,Eso pasó hace mucho tiempo.,858921
10077687,Tom rose to the rank of brigadier before retiring from the army.,10091066,Tom ascendió al rango de brigadier antes de retirarse del ejército.,858342
10077688,We're retouching some old photographs.,10091069,Estamos retocando algunas fotografías viejas.,859482
10078253,It's easier not to start than it is to quit.,10091063,Es más fácil no empezar que dejarlo.,857132
10081393,I'm so much happier now.,10091060,Estoy mucho más feliz ahora.,859483
10081394,I'm not as lonely now as I was then.,10091059,No estoy tan solo ahora que como lo estaba entonces.,859484
10081397,I'm more content now than I was then.,10091056,Estoy más contento ahora de lo que lo estaba entonces.,859485
10082121,Tom is studying ocular pathology.,10082517,Tom está estudiando patología ocular.,858307
10082567,Let's make a list.,10082622,Hagamos una lista.,858943
10087288,The wedding will be nice.,10093059,La boda será bonita.,862219
10087289,That's what I was getting at.,10093058,A eso es a lo que me refería.,862783
10087291,It's a debate as old as time itself.,10093056,Es un debate tan antiguo como el propio tiempo.,862784
10087294,Tom has been going to church again.,10093053,Tom ha estado yendo a la iglesia de nuevo.,861112
10087295,My dad got a pacemaker recently.,10093229,Mi padre se puso recientemente un marcapasos.,862785
10087299,We were pretty reckless.,10093048,Éramos bastante imprudentes.,859756
10087300,I'm going camping with Tom.,10093046,Me voy de acampada con Tom.,861113
10087301,You have no reason not to switch.,10093045,No tienes ningún motivo para no cambiar.,862786
10087302,The acting wasn't great.,10093044,La actuación no fue genial.,862220
10087364,We never studied together.,10093037,Nunca estudiamos juntos.,859757
10087366,You should move here.,10093035,Deberías mudarte aquí.,859758
10087367,You most certainly will need to do that now.,10093034,Seguramente necesitarás hacer eso ahora.,862787
10087368,I don't intend to fly anymore.,10093032,No tengo la intención de volar más.,862788
10087374,I've made some changes to my resume.,10093029,He hecho algunos cambios en mi currículum.,862789
10087375,That's a great milestone.,10093026,Eso es un gran hito.,862222
10087378,Better days are coming.,10093021,Vendrán mejores días.,859759
10087379,We miss you both so much.,10093020,Os echamos mucho de menos a ambos.,862223
10087500,There are a lot of women here.,10092984,Hay muchas mujeres aquí.,862790
10087502,It sounds like you guys have a healthy relationship.,10092983,"Da la impresión de que vosotros, chicos, tenéis una relación saludable.",862791
10088416,It's closer to this than the other one.,10091050,Está más cerca de esto que del otro.,862793
10089444,Tom is a fundamentalist.,10091039,Tom es un fundamentalista.,861039
10090233,Language changes over time.,10090940,Los idiomas cambian con el tiempo.,862229
10090699,I know you can't see Tom.,10090883,Sé que no puedes ver a Tom.,859489
10090762,My cats are my children.,10090864,Mis gatos son mis hijos.,862234
10092430,I'm tired and bored.,10092965,Estoy cansado y aburrido.,862262
10092431,I haven't done that today.,10092964,No he hecho eso hoy.,862263
10092432,Has this happened to you?,10092963,¿Esto te ha ocurrido a ti?,862264
10092436,I think I talked about this a while ago.,10092962,Creo que hablé de esto hace un tiempo.,862796
10092437,"Unfortunately, it doesn't really seem to be true.",10092961,"Desafortunadamente, en realidad no parece que eso sea cierto.",863172
10092439,Wouldn't almost anyone admit that?,10092960,¿No admitiría eso casi nadie?,862797
10092451,It seems obviously false to me.,10092951,A mí me parece obviamente falso.,862798
10092452,That does make sense intuitively.,10092949,Eso tiene sentido de forma intuitiva.,862799
10092456,We talked for probably an hour or two.,10092943,Probablemente hablamos durante una hora o dos.,862800
10092461,Is there any evidence to support that claim?,10092942,¿Hay pruebas que respalden esa afirmación?,862801
10092463,Why should we accept that claim?,10092941,¿Por qué deberíamos aceptar esa afirmación?,862802
10092464,That's an unsubstantiated claim.,10092939,Esa es una afirmación sin fundamento.,863986
10092480,I don't want my rating to go down.,10092937,No quiero que baje mi calificación.,862803
10092551,It's pretty far from the city.,10092928,Está bastante lejos de la ciudad.,862705
10092554,This is a private road.,10092927,Esta es una carretera privada.,862265
10092625,Tom is very devout.,10092915,Tom es muy devoto.,859760
10092664,Nobody noticed my new haircut.,10092912,Nadie se dio cuenta de mi nuevo corte de pelo.,862706
10092665,Tom grew out his beard.,10092911,Tom se dejó crecer la barba.,862266
10092666,Is this where you grew up?,10092909,¿Es aquí donde creciste?,862267
10092667,Did you grow up here?,10092908,¿Creciste aquí?,862268
10092677,My schedule is pretty packed.,10092905,Mi agenda está bastante apretada.,862707
10092679,The water is too cold.,10092904,El agua está demasiado fría.,862269
10092682,There's nothing to do in our city.,10092903,No hay nada que hacer en nuestra ciudad.,862708
10092683,It's a very relaxing place.,10092902,Es un sitio muy relajante.,862270
10092684,I spent the whole day there.,10092900,Pasé el día entero allí.,862709
10092688,Tom's car got keyed.,10092897,Rayaron el coche de Tom.,861046
10092691,Tom didn't go to prom.,10092896,Tom no fue al baile de graduación.,862271
10092696,There are some leftovers in the fridge.,10092895,Hay algunas sobras en el frigo.,862710
10092699,Thanks for making dinner.,10092894,Gracias por hacer la cena.,859761
10092704,Sorry I couldn't make it. Something came up.,10092893,"Lo siento, no pude hacerlo. Me surgió algo.",862711
10092844,Flip the switch.,10092870,Acciona el conmutador.,859762
10092846,Did you drop this?,10092867,¿Se te cayó esto?,862274
10092849,I think you dropped something.,10092869,Creo que se te cayó algo.,862716
10092868,Tom put on a pair of jeans.,10093008,Tom se puso un par de vaqueros.,861047
10092873,Tom put on a pair of socks.,10093007,Tom se puso un par de calcetines.,861048
10092878,Put a shirt on.,10093005,Ponte una camiseta.,859763
10092879,Put on a shirt.,10093005,Ponte una camiseta.,859764
10093014,I felt that my life was in danger.,10093218,Sentía que mi vida estaba en peligro.,859765
10093022,Be aware of your surroundings.,10093217,Ten cuidado de tu entorno.,859766
10093027,Thanks for letting me use your pen.,10093216,Gracias por dejarme usar tu bolígrafo.,859767
10093028,Thanks for letting me use your phone.,10093215,Gracias por dejarme usar tu teléfono.,862718
10093033,When was this book written?,10093214,¿Cuándo se escribió este libro?,859768
10093039,My views have evolved since then.,10093213,Mis puntos de vista han evolucionado desde entonces.,862719
10093041,My views have changed since then.,10093211,Mis puntos de vista han cambiado desde entonces.,859769
10093047,Tom isn't a citizen.,10093210,Tom no es ciudadano.,859494
10093051,There's a vending machine at the end of the hall.,10093208,Hay una máquina expendedora al final del pasillo.,859770
10093063,I get an error when I refresh the page.,10093203,Obtengo un error cuando refresco la página.,859772
10093065,The site's not working at all.,10093201,El sitio no funciona en absoluto.,859773
10093066,I can't sign in.,10093191,No puedo ingresar.,859774
10093067,I keep getting error messages.,10093199,Sigo obteniendo mensajes de error.,859775
10093071,I can't register on the site.,10093198,No puedo registrarme en el sitio.,862720
10093077,I think the site might be offline.,10093196,Creo que el sitio puede estar fuera de línea.,859776
10093082,Are you connected to the internet?,10093194,¿Estás conectado a internet?,862721
10093084,Have you ever had this problem before?,10093193,¿Has tenido alguna vez este problema?,859777
10093087,I can't log in.,10093191,No puedo ingresar.,859778
10093092,Try restarting your computer.,10093189,Intenta reiniciar tu ordenador.,859779
10093104,This offer has expired.,10093188,Esta oferta ha caducado.,859780
10093115,You need to register for the event in advance.,10093187,Necesitas registrarte en el evento por adelantado.,863176
10094538,It was a really awkward situation.,10095045,Fue una situación realmente incómoda.,859585
10094539,I tried to change the topic as quickly as possible.,10095044,Intenté cambiar de asunto lo más rápido posible.,859790
10094540,I didn't feel comfortable discussing that.,10095042,No me sentía cómodo charlando de eso.,859586
10094541,That guy gave off a strange vibe.,10095040,Ese tipo daba una sensación extraña.,859587
10094774,I need a new belt.,10095004,Necesito un nuevo cinturón.,859591
10094780,Tom already ordered pizza.,10095002,Tom ya pidió pizza.,859791
10094781,We're waiting for the pizza to arrive.,10095001,Estamos esperando a que llegue la pizza.,859592
10094783,You can have a snack in the meantime.,10094999,Puedes tomarte un tentempié mientras tanto.,859593
10094784,Stop calling me.,10094997,Deja de llamarme.,859594
10094789,Are you being serious right now?,10094983,¿Estás siendo serio en este momento?,859595
10094792,I'm not really sure about this.,10094980,No estoy realmente seguro de esto.,859596
10094794,It's not too late to turn back.,10094979,No es tarde para retroceder.,859597
10094795,I think we took a wrong turn.,10094977,Creo que tomamos un desvío equivocado.,859598
10094796,Are you sure you know where we're going?,10094974,¿Estás seguro de que sabes a dónde vamos?,859792
10094797,How well do you know this area?,10094972,¿Cómo de bien conoces esta zona?,859793
10094798,Maybe we should ask for directions.,10094971,Quizá deberíamos pedir indicaciones.,859599
10094801,I'm pretty sure we should've taken a right back there.,10094969,Estoy bastante seguro de que deberíamos haber dado un giro a la derecha allí.,860576
10094803,I don't want to get lost.,10094968,No quiero perderme.,859600
10094810,Let's get back on the main road.,10094967,Volvamos a la carretera principal.,859601
10094816,I'll send you the link when I get home.,10095074,Te enviaré el enlace cuando llegue a casa.,859602
10094819,That sounds incredibly boring.,10094823,Suena aburridísimo.,859603
10094827,Is your mic muted?,10095067,¿Está tu micro desactivado?,859604
10094828,You have to unmute your microphone.,10095058,Tienes que activar el sonido de tu micrófono.,859796
10094836,Make sure to take notes.,10095050,Asegúrate de tomar notas.,859797
10094839,I keep forgetting about that.,10095049,Sigo olvidándome de eso.,859798
10094841,My company has started promoting it.,10094962,Mi empresa ha empezado a promocionarlo.,859799
10094842,This is the first time something like that has happened.,10094960,Esta es la primera vez que ocurre algo así.,859800
10094846,I don't own a TV.,10094956,No tengo un televisor.,859801
10094878,Tom was a paratrooper.,10094955,Tom era paracaidista.,861049
10094894,Tom never came home that day.,10094954,Tom no volvió a casa aquél día.,859802
10094904,Don't point at people.,10094951,No señales a la gente.,859803
10094905,It's rude to point your finger at people.,10094949,Es grosero señalar a la gente con el dedo.,859804
10094907,I don't foresee ever being able to go to Boston.,10094947,No preveo que pueda ir a Boston.,859805
10094909,Tom needs friends.,10094946,Tom necesita amigos.,859806
10094911,You know how much I value our friendship.,10094944,Sabes cuánto valoro nuestra amistad.,859807
10094916,Am I being detained?,10094941,¿Me están deteniendo?,859808
10094919,You can leave whenever you want.,8949013,Puedes irte cuando quieras.,859809
10094920,I don't even know the guy.,10094938,Ni siquiera conozco al tipo.,859810
10094921,I guess it was just a lucky guess.,10094937,Supongo que fue solo una conjetura afortunada.,859811
10098580,Tom bought a refractory telescope.,10106107,Tom se compró un telescopio refractor.,861104
10101832,I've already had a cup of coffee today.,10154278,Hoy ya he tomado una taza de café.,865279
10101870,I can't pronounce this word.,10817892,No puedo pronunciar esta palabra.,865285
10104653,Tom was in a funk band.,13017620,Tom estaba en una banda de funk.,865207
10105766,I think I saw little green men.,10105970,Creo que vi hombrecillos verdes.,865224
10107394,Tom wants to renounce his citizenship.,10112876,Tom quiere renunciar a su ciudadanía.,862741
10107418,I'm sick of seeing pop-up ads.,10112875,Estoy harto de ver anuncios emergentes.,862742
10108821,The people are very friendly here.,10112861,La gente es muy amistosa aquí.,862747
10108823,The weather is nice here.,10112860,El tiempo es bueno aquí.,862748
10108825,We have a lot of museums.,10112859,Tenemos muchos museos.,862749
10108852,All of these factors are important.,10112858,Todos estos factores son importantes.,862750
10108853,People here depend on public transportation.,10112857,La gente aquí depende del transporte público.,862751
10109797,Tom is faithful to his wife.,10112811,Tom es fiel a su esposa.,862690
10109799,I'll give you a head start.,10112810,Te daré ventaja.,862691
10109801,"Even though I had a head start, I still lost the race.",10112809,"Aunque tenía ventaja, perdí la carrera.",862692
